Island Group,Region
Luzon,I – Ilocos Region
Luzon,II – Cagayan Valley
Luzon,III – Central Luzon
Luzon,IV‑A – CALABARZON
Luzon,MIMAROPA Region
Luzon,V - Bicol Region
Luzon,NCR – National Capital Region
Luzon,CAR – Cordillera Administrative Region
Visayas,VI – Western Visayas
Visayas,VII – Central Visayas
Visayas,VIII – Eastern Visayas
Mindanao,IX – Zamboanga Peninsula
Mindanao,X – Northern Mindanao
Mindanao,XI – Davao Region
Mindanao,XII – SOCCSKSARGEN
Mindanao,XIII – Caraga
Mindanao,BARMM – Bangsamoro Autonomous Region in Muslim Mindanao
