Region,Province,Type,Population (2020),Population (2015),Annual Population Growth Rate (2015 - 2020),Area (2013 in km2),Density (2020 per km2),City Count,Municipality Count,Barangay Count
I – Ilocos Region,Ilocos Norte,province,"609,588","593,081",0.58%,"3,418.75",178,2,21,559
I – Ilocos Region,Ilocos Sur,province,"706,009","689,668",0.49%,"2,596.00",272,2,32,768
I – Ilocos Region,La Union,province,"822,352","786,653",0.94%,"1,499.28",548,1,19,576
I – Ilocos Region,Pangasinan,province,"3,163,190","2,956,726",1.43%,"5,450.59",580,4,44,"1,364"
II – Cagayan Valley,Batanes,province,"18,831","17,246",1.87%,203.22,93,0,6,29
II – Cagayan Valley,Cagayan,province,"1,268,603","1,199,320",1.19%,"9,398.07",135,1,28,820
II – Cagayan Valley,Isabela,province,"1,697,050","1,593,566",1.33%,"13,102.05",130,3,34,"1,055"
II – Cagayan Valley,Nueva Vizcaya,province,"497,432","452,287",2.02%,"4,813.88",103,0,15,275
II – Cagayan Valley,Quirino,province,"203,828","188,991",1.60%,"2,319.66",88,0,6,132
III – Central Luzon,Angeles,city (HUC),"462,928","411,634",2.50%,63.37,"7,305",0,0,33
III – Central Luzon,Aurora,province,"235,750","214,336",2.03%,"3,133.40",75,0,8,151
III – Central Luzon,Bataan,province,"853,373","760,650",2.45%,"1,372.98",622,1,11,237
III – Central Luzon,Bulacan,province,"3,708,890","3,292,071",2.54%,"2,783.69","1,332",3,21,569
III – Central Luzon,Nueva Ecija,province,"2,310,134","2,151,461",1.51%,"5,689.69",406,5,27,849
III – Central Luzon,Olongapo,city (HUC),"260,317","233,040",2.36%,185.00,"1,407",0,0,17
III – Central Luzon,Pampanga,province,"2,437,709","2,198,110",2.20%,"2,001.22","1,218",2,19,505
III – Central Luzon,Tarlac,province,"1,503,456","1,366,027",2.04%,"3,046.49",494,1,17,511
III – Central Luzon,Zambales,province,"649,615","590,848",2.02%,"3,630.35",179,0,13,230
IV‑A – CALABARZON,Batangas,province,"2,908,494","2,694,335",1.62%,"3,115.05",934,4,30,"1,078"
IV‑A – CALABARZON,Cavite,province,"4,344,829","3,678,301",3.57%,"1,526.28","2,847",7,16,829
IV‑A – CALABARZON,Lucena,"city (HUC), capital","278,924","266,248",0.98%,80.21,"3,477",0,0,33
IV‑A – CALABARZON,Laguna,province,"3,382,193","3,035,081",2.31%,"1,928.23","1,754",6,24,681
IV‑A – CALABARZON,Quezon,province,"1,950,459","1,856,582",1.04%,"8,743.84",223,1,39,"1,209"
IV‑A – CALABARZON,Rizal,province,"3,330,143","2,884,227",3.07%,"1,182.65","2,816",1,13,189
MIMAROPA Region,Marinduque,province,"239,207","234,521",0.42%,952.58,251,0,6,218
MIMAROPA Region,Occidental Mindoro,province,"525,354","487,414",1.59%,"5,851.09",90,0,11,164
MIMAROPA Region,Oriental Mindoro,province,"908,339","844,059",1.56%,"4,238.38",214,1,14,426
MIMAROPA Region,Palawan,province,"939,594","849,469",2.15%,"14,649.73",64,0,23,367
MIMAROPA Region,Puerto Princesa,"city (HUC), capital","307,079","255,116",3.98%,"2,381.02",129,0,0,66
MIMAROPA Region,Romblon,province,"308,985","292,781",1.14%,"1,533.45",201,0,17,219
V - Bicol Region,Albay,province,"1,374,768","1,314,826",0.94%,"2,574.91",534,3,15,720
