Province,Municipality name,Type,Population (2020),Population (2015),Annual Population Growth Rate (2015 - 2020),Area (2013 in km2),Density (2020 per km2),Brgy Count
NCR – National Capital Region,Caloocan,city (HUC),"1,661,584","1,583,978",1.01%,55.80,"29,777",188
NCR – National Capital Region,Las Piñas,city (HUC),"606,293","588,894",0.61%,32.69,"18,547",20
NCR – National Capital Region,Makati,city (HUC),"629,616","582,602",1.65%,21.57,"29,189",33
NCR – National Capital Region,Malabon,city (HUC),"380,522","365,525",0.85%,15.71,"24,222",21
NCR – National Capital Region,Mandaluyong,city (HUC),"425,758","386,276",2.07%,9.29,"45,830",27
NCR – National Capital Region,Manila,"city (HUC), capital, regional center","1,846,513","1,780,148",0.77%,24.98,"73,920",897
NCR – National Capital Region,Marikina,city (HUC),"456,059","450,741",0.25%,21.52,"21,192",16
NCR – National Capital Region,Muntinlupa,city (HUC),"543,445","504,509",1.58%,39.75,"13,672",9
NCR – National Capital Region,Navotas,city (HUC),"247,543","249,463",-0.16%,8.94,"27,689",18
NCR – National Capital Region,Parañaque,city (HUC),"689,992","665,822",0.75%,46.57,"14,816",16
NCR – National Capital Region,Pasay,city (HUC),"440,656","416,522",1.19%,13.97,"31,543",201
NCR – National Capital Region,Pasig,city (HUC),"803,159","755,300",1.30%,48.46,"16,574",30
NCR – National Capital Region,Pateros,mun,"65,227","63,840",0.45%,10.40,"6,272",10
NCR – National Capital Region,Quezon City,city (HUC),"2,960,048","2,936,116",0.17%,171.71,"17,239",142
NCR – National Capital Region,San Juan,city (HUC),"126,347","122,180",0.71%,5.95,"21,235",21
NCR – National Capital Region,Taguig,city (HUC),"886,722","804,915",2.06%,45.21,"19,613",28
NCR – National Capital Region,Valenzuela,city (HUC),"714,978","620,422",3.03%,47.02,"15,206",33
Ilocos Norte,Adams,municipality,"2,189","1,792",4.30%,159.31,14,1
Ilocos Norte,Bacarra,municipality,"33,496","32,215",0.82%,65.32,513,43
Ilocos Norte,Badoc,municipality,"32,530","31,616",0.60%,76.68,424,31
Ilocos Norte,Bangui,municipality,"15,019","14,672",0.49%,108.76,138,14
Ilocos Norte,Banna,municipality,"19,297","19,438",-0.15%,92.73,208,20
Ilocos Norte,Batac,city (CC),"55,484","55,201",0.11%,161.06,344,43
Ilocos Norte,Burgos,municipality,"10,759","9,777",2.04%,128.90,83,11
Ilocos Norte,Carasi,municipality,"1,607","1,567",0.53%,82.97,19,3
Ilocos Norte,Currimao,municipality,"12,215","12,184",0.05%,34.08,358,23
Ilocos Norte,Dingras,municipality,"40,127","38,562",0.84%,96.00,418,31
Ilocos Norte,Dumalneg,municipality,"3,087","2,947",0.98%,92.69,33,4
Ilocos Norte,Laoag,"city (CC), capital","111,651","111,125",0.10%,116.08,962,80
Ilocos Norte,Marcos,municipality,"18,010","17,777",0.27%,72.77,247,13
Ilocos Norte,Nueva Era,municipality,"11,968","9,506",4.97%,515.02,23,11
Ilocos Norte,Pagudpud,municipality,"25,098","23,770",1.15%,194.90,129,16
Ilocos Norte,Paoay,municipality,"25,001","24,866",0.11%,76.24,328,31
Ilocos Norte,Pasuquin,municipality,"29,678","28,980",0.50%,161.41,184,33
Ilocos Norte,Piddig,municipality,"22,475","21,497",0.94%,216.20,104,23
Ilocos Norte,Pinili,municipality,"17,626","17,300",0.39%,89.48,197,25
Ilocos Norte,San Nicolas,municipality,"38,895","36,736",1.21%,40.18,968,24
Ilocos Norte,Sarrat,municipality,"25,186","25,212",-0.02%,57.39,439,24
Ilocos Norte,Solsona,municipality,"24,851","24,121",0.63%,166.23,149,22
Ilocos Norte,Vintar,municipality,"33,339","32,220",0.72%,614.35,54,33
Ilocos Sur,Alilem,municipality,"7,361","6,695",2.02%,119.33,62,9
Ilocos Sur,Banayoyo,municipality,"7,931","7,748",0.49%,24.63,322,14
Ilocos Sur,Bantay,municipality,"37,118","35,731",0.81%,76.60,485,34
Ilocos Sur,Burgos,municipality,"12,793","12,224",0.96%,44.38,288,26
Ilocos Sur,Cabugao,municipality,"38,884","37,501",0.77%,95.56,407,33
Ilocos Sur,Candon,city (CC),"61,432","60,623",0.28%,103.28,595,42
Ilocos Sur,Caoayan,municipality,"19,574","19,861",-0.31%,17.42,"1,124",17
Ilocos Sur,Cervantes,municipality,"19,449","17,211",2.61%,234.70,83,13
Ilocos Sur,Galimuyod,municipality,"10,244","10,748",-1.01%,34.40,298,24
Ilocos Sur,Gregorio del Pilar,municipality,"4,472","4,875",-1.80%,41.66,107,7
Ilocos Sur,Lidlidda,municipality,"4,705","4,647",0.26%,33.84,139,11
Ilocos Sur,Magsingal,municipality,"31,308","30,792",0.35%,84.98,368,30
Ilocos Sur,Nagbukel,municipality,"5,465","5,259",0.81%,43.12,127,12
Ilocos Sur,Narvacan,municipality,"46,234","44,006",1.05%,122.21,378,34
Ilocos Sur,Quirino,municipality,"9,306","8,573",1.74%,240.10,39,9
Ilocos Sur,Salcedo,municipality,"11,110","11,288",-0.33%,103.44,107,21
Ilocos Sur,San Emilio,municipality,"7,206","7,407",-0.58%,141.44,51,8
Ilocos Sur,San Esteban,municipality,"8,381","8,349",0.08%,19.62,427,10
Ilocos Sur,San Ildefonso,municipality,"8,190","7,787",1.07%,11.35,722,15
Ilocos Sur,San Juan,municipality,"26,674","26,411",0.21%,64.37,414,32
Ilocos Sur,San Vicente,municipality,"13,118","12,758",0.59%,12.60,"1,041",7
Ilocos Sur,Santa,municipality,"14,992","15,340",-0.48%,109.10,137,26
Ilocos Sur,Santa Catalina,municipality,"14,493","13,945",0.81%,9.68,"1,497",9
Ilocos Sur,Santa Cruz,municipality,"41,366","39,868",0.78%,88.78,466,49
Ilocos Sur,Santa Lucia,municipality,"25,966","25,402",0.46%,49.72,522,36
Ilocos Sur,Santa Maria,municipality,"30,006","30,321",-0.22%,63.31,474,33
Ilocos Sur,Santiago,municipality,"19,471","18,759",0.79%,46.36,420,24
Ilocos Sur,Santo Domingo,municipality,"29,041","27,975",0.79%,55.49,523,36
Ilocos Sur,Sigay,municipality,"2,552","2,737",-1.46%,81.55,31,7
Ilocos Sur,Sinait,municipality,"25,998","25,640",0.29%,65.56,397,44
Ilocos Sur,Sugpon,municipality,"4,930","4,585",1.54%,57.11,86,6
Ilocos Sur,Suyo,municipality,"10,766","11,446",-1.28%,124.00,87,8
Ilocos Sur,Tagudin,municipality,"41,538","39,277",1.19%,151.19,275,43
Ilocos Sur,Vigan,"city (CC), capital","53,935","53,879",0.02%,25.12,"2,147",39
La Union,Agoo,municipality,"66,028","63,692",0.76%,52.84,"1,250",49
La Union,Aringay,municipality,"50,380","47,458",1.27%,84.54,596,24
La Union,Bacnotan,municipality,"44,388","42,078",1.13%,78.18,568,47
La Union,Bagulin,municipality,"14,428","13,456",1.48%,107.33,134,10
La Union,Balaoan,municipality,"40,339","39,188",0.61%,68.70,587,36
La Union,Bangar,municipality,"38,041","35,947",1.20%,37.36,"1,018",33
La Union,Bauang,municipality,"78,449","75,032",0.94%,73.15,"1,072",39
La Union,Burgos,municipality,"9,006","8,067",2.35%,70.80,127,12
La Union,Caba,municipality,"23,119","22,039",1.01%,46.31,499,17
La Union,Luna,municipality,"37,318","35,802",0.88%,42.90,870,40
La Union,Naguilian,municipality,"52,189","54,221",-0.80%,104.60,499,37
La Union,Pugo,municipality,"19,337","19,690",-0.38%,62.84,308,14
La Union,Rosario,municipality,"60,278","55,458",1.77%,73.98,815,33
La Union,San Fernando,"city (CC), capital, regional center","125,640","121,812",0.65%,102.72,"1,223",59
La Union,San Gabriel,municipality,"18,943","18,172",0.88%,129.87,146,15
La Union,San Juan,municipality,"40,507","37,188",1.82%,57.12,709,41
La Union,Santo Tomas,municipality,"40,846","39,092",0.93%,64.00,638,24
La Union,Santol,municipality,"14,166","12,476",2.71%,93.70,151,11
La Union,Sudipen,municipality,"17,187","17,056",0.16%,97.59,176,17
La Union,Tubao,municipality,"31,763","28,729",2.14%,50.75,626,18
Pangasinan,Agno,municipality,"29,947","28,052",1.39%,169.75,176,17
Pangasinan,Aguilar,municipality,"45,100","41,463",1.79%,195.07,231,16
Pangasinan,Alaminos,city (CC),"99,397","89,708",2.18%,164.26,605,39
Pangasinan,Alcala,municipality,"48,908","43,402",2.55%,45.71,"1,070",21
Pangasinan,Anda,municipality,"41,548","39,504",1.07%,74.55,557,18
Pangasinan,Asingan,municipality,"57,811","57,355",0.17%,66.64,868,21
Pangasinan,Balungao,municipality,"30,004","31,106",-0.76%,73.25,410,20
Pangasinan,Bani,municipality,"52,603","50,306",0.94%,179.65,293,27
Pangasinan,Basista,municipality,"37,679","32,959",2.86%,24.00,"1,570",13
Pangasinan,Bautista,municipality,"35,398","32,307",1.94%,46.33,764,18
Pangasinan,Bayambang,municipality,"129,011","118,205",1.86%,143.94,896,77
Pangasinan,Binalonan,municipality,"56,382","54,555",0.70%,58.05,971,24
Pangasinan,Binmaley,municipality,"86,881","83,052",0.95%,118.50,733,33
Pangasinan,Bolinao,municipality,"83,979","82,084",0.48%,197.22,426,30
Pangasinan,Bugallon,municipality,"74,962","67,348",2.28%,189.64,395,24
Pangasinan,Burgos,municipality,"23,749","21,637",1.98%,131.32,181,14
Pangasinan,Calasiao,municipality,"100,471","95,154",1.15%,48.36,"2,078",24
Pangasinan,Dagupan,city (ICC),"174,302","171,271",0.37%,37.23,"4,682",31
Pangasinan,Dasol,municipality,"31,355","29,110",1.58%,166.60,188,18
Pangasinan,Infanta,municipality,"26,242","24,584",1.38%,254.29,103,13
Pangasinan,Labrador,municipality,"26,811","23,201",3.09%,90.99,295,10
Pangasinan,Laoac,municipality,"34,128","31,497",1.70%,40.50,843,22
Pangasinan,Lingayen,"municipality, capital","107,728","103,278",0.89%,62.76,"1,717",32
Pangasinan,Mabini,municipality,"26,454","24,765",1.40%,291.01,91,16
Pangasinan,Malasiqui,municipality,"143,094","130,275",2.00%,131.37,"1,089",73
Pangasinan,Manaoag,municipality,"76,045","69,497",1.91%,55.95,"1,359",26
Pangasinan,Mangaldan,municipality,"113,185","106,331",1.32%,48.17,"2,350",30
Pangasinan,Mangatarem,municipality,"79,323","73,241",1.69%,317.50,250,82
Pangasinan,Mapandan,municipality,"38,058","37,059",0.56%,21.01,"1,811",15
Pangasinan,Natividad,municipality,"25,771","24,299",1.25%,134.36,192,18
Pangasinan,Pozorrubio,municipality,"74,729","69,555",1.52%,134.60,555,34
